Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label,Genre
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,241107,4,1,"christmas,pop,xmas,mariah+carey,pop,rnb,female+vocalists"
Despacito (Featuring Daddy Yankee),Luis Fonsi,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4,1,"latin,pop,daddy+yankee,meme,2017,latin,pop,latin+pop"
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4,1,"pop,2010s,2019,no+6+collaborations+project,acoustic,british,singer-songwriter"
7 rings,Ariana Grande,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,1,"trap,rap,pop,rnb,pop,rnb,female+vocalists"
SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166568,4,1,"hip-hop,emo,emo+rap,rap,hip+hop,hip-hop,cloud+rap,rap"
Last Christmas,Wham!,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,262960,4,1,"christmas,80s,pop,xmas,pop,80s,british"
Señorita,Shawn Mendes,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,1,"pop,latin,camila+cabello,latin+pop,pop,canadian,folk"
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,1,"pop,dancehall,2017,best+of+2017,acoustic,british,singer-songwriter"
In My Feelings,Lana Del Rey,0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.112,0.309,89.933,238719,4,1,"trip-hop,trip+hop,baroque+pop,amazing,indie,female+vocalists,pop"
"thank u, next",Ariana Grande,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4,1,"pop,rnb,pete+fracassado,pop,rnb,female+vocalists"
Nonstop,Drake,0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4,1,"rap,hip-hop,drake,hip-hop,rap,hip+hop"
Dance Monkey,Tones And I,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4,1,"pop,2019,pop,australian,indie+pop"
Survival,Drake,0.685,0.593,9,-9.083,0,0.284,0.134,0,0.123,0.144,84.763,136187,4,1,"rap,canadian,hip-hop,decent,drake,hip-hop,rap,hip+hop"
God's Plan,Drake,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67E-05,0.558,0.373,77.176,198960,4,1,"hip-hop,rap,canadian,awesome,hip-hop,rap,hip+hop"
Despacito - Remix,Luis Fonsi,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,1,"justin+bieber,pop,spanish,reggaeton,latin,pop,latin+pop"
Blinding Lights,The Weeknd,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,1,"synthpop,synthwave,the+weeknd,pop,rnb,electronic,canadian"
Lose You To Love Me,Selena Gomez,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4,1,"rare,pop,selena+gomez,pop,female+vocalists,disney"
HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4,1,"rap,love+at+first+listen,trap,travis+scott,2010s"
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,193040,4,1,"pop,taylor+swift,pop,country,female+vocalists"
Look What You Made Me Do,Taylor Swift,0.767,0.671,9,-6.416,0,0.142,0.21,1.12E-05,0.129,0.474,128.072,211859,4,1,"pop,dance,pop,country,female+vocalists"
Jocelyn Flores,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4,1,"hip-hop,rap,emo,emo+rap,hip-hop,cloud+rap,rap"
Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4,1,"pop,bts,disco,dynamite,k-pop,bts,kpop"
cardigan,Taylor Swift,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,1,"folk,chamber+pop,folk+pop,indie,pop,country,female+vocalists"
"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4,1,"pop,trap,rnb,pop,rnb,female+vocalists"
Emotionless,Drake,0.413,0.676,1,-5.124,1,0.213,0.0239,0,0.0811,0.0827,173.478,302173,4,1,"drake,canadian,rap,hip+hop,hip-hop,rap,hip+hop"
positions,Ariana Grande,0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005,172325,4,1,"pop,rnb,female+vocalists,ariana+grande,love+at+first+listen,pop,rnb,female+vocalists"
Elevate,Drake,0.755,0.47,1,-8.72,1,0.139,0.0153,0,0.118,0.0604,76.056,184960,4,1,"rap,canadian,hip-hop,not+sure,drake,hip-hop,rap,hip+hop"
THE SCOTTS,THE SCOTTS,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4,1,"rap,the+scotts,hip-hop,trap"
The Box,Roddy Ricch,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,1,"hip-hop,2019,rap,trap,roddy+ricch,hip-hop,rap,trap"
the 1,Taylor Swift,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28E-06,0.108,0.172,139.883,210252,4,1,"folk,indie,indie+pop,alternative,pop,country,female+vocalists"
Circles,Post Malone,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907,4,1,"pop,indie+pop,post+malone,pop+rock,hip-hop,rap,trap"
bad guy,Billie Eilish,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,1,"electropop,pop,dance-pop,pop,indie+pop,electropop"
Don’t Matter To Me,Drake,0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787,4,1,"michael+jackson,rap,rnb,drake,hip-hop,rap,hip+hop"
WAP (feat. Megan Thee Stallion),Cardi B,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,187541,4,1,"megan+thee+stallion,cardi+b,rap,best+of+2020,hip-hop,rap,trap"
No Time To Die,Billie Eilish,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4,1,"james+bond,2020,billie+eilish,pop,pop,indie+pop,electropop"
rockstar,Post Malone,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,1,"rap,trap,hip-hop,2017,hip-hop,rap,trap"
STARGAZING,Travis Scott,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05E-06,0.189,0.0564,150.007,270715,4,1,"psychedelic,rap,hip+hop,hip-hop,trap"
Santa Tell Me,Ariana Grande,0.464,0.63,7,-7.337,1,0.182,0.0464,0,0.295,0.527,132.96,204093,5,1,"pop,christmas,love+at+first+listen,hino,pop,rnb,female+vocalists"
8 Out Of 10,Drake,0.534,0.684,11,-7.874,0,0.717,0.164,0,0.499,0.338,170.416,195720,4,1,"rap,canadian,hip-hop,decent,drake,hip-hop,rap,hip+hop"
exile (feat. Bon Iver),Taylor Swift,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,285634,4,1,"folk,alternative,pop,country,female+vocalists"
Moonlight,XXXTENTACION,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,1,"hip-hop,rap,emo,hip+hop,hip-hop,cloud+rap,rap"
It's Beginning to Look a Lot like Christmas,Michael Bublé,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47E-06,0.341,0.363,94.775,206640,3,1,"christmas,jazz,swing,christmas"
