danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hiphop,rap,pop,electronic,trap,indie,rnb,rock,dance,reggaeton,Label
0.495,0.811,1,-2.649,0,0.0571,0.102,0,0.132,0.241,139.925,229587,4,1,1,0,0,1,0,0,1,0,0,1
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,193227,4,1,0,0,0,0,0,0,0,1,1,1
0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,204173,4,1,1,1,0,0,0,1,0,0,0,1
0.667,0.719,7,-5.371,0,0.0346,0.00285,8.10E-05,0.0736,0.717,100.021,237520,4,0,0,1,1,0,0,1,0,0,0,1
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,0,0,1,0,0,0,0,0,0,0,1
0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827,4,0,0,1,0,0,0,0,0,0,0,1
0.765,0.523,2,-4.333,1,0.03,0.184,3.56E-05,0.132,0.394,104.988,217307,4,0,0,1,0,0,0,0,0,1,0,1
0.596,0.488,4,-10.769,1,0.0274,0.9,2.70E-05,0.091,0.415,94.926,208907,4,0,0,1,0,0,1,0,0,0,0,1
0.9,0.603,2,-5.313,1,0.0646,0.402,4.81E-06,0.134,0.824,129.928,170972,4,0,0,0,0,1,0,0,0,0,1,1
0.585,0.52,5,-6.136,0,0.0712,0.124,7.01E-05,0.131,0.129,159.801,218147,4,1,1,0,0,1,0,0,0,0,0,1
0.833,0.539,11,-7.399,0,0.178,0.163,2.10E-06,0.101,0.385,99.947,149520,4,1,1,0,0,1,0,0,0,0,0,1
0.665,0.674,7,-5.188,1,0.161,0.00386,0,0.0734,0.702,111.516,159173,4,0,0,1,0,0,0,0,0,0,0,1
0.853,0.351,7,-10.198,1,0.241,0.39,9.38E-06,0.752,0.282,118.028,221543,4,0,0,1,0,0,1,1,0,0,0,1
0.772,0.634,10,-6.101,0,0.212,0.135,0,0.432,0.671,160.052,210261,4,1,1,0,0,1,0,0,0,0,0,1
0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919,212093,4,0,0,1,0,0,0,1,0,0,0,1
0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,195429,4,1,1,0,0,0,0,0,0,0,0,1
0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,4,0,0,1,0,0,1,0,0,0,0,1
0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4,0,0,1,0,0,1,0,1,0,0,1
0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,0,0,0,1,0,0,0,0,0,0,1
0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467,4,1,1,0,0,0,0,0,0,0,0,1
0.772,0.498,8,-7.661,1,0.649,0.115,0,0.0898,0.351,81.817,216727,4,1,1,0,0,0,0,0,0,0,0,1
0.612,0.942,6,-2.558,0,0.122,0.0776,5.97E-06,0.0867,0.474,106.039,248400,4,0,0,0,0,0,1,0,1,0,0,1
0.735,0.451,0,-8.374,1,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,245200,4,0,0,1,0,0,0,1,0,0,0,1
0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99E-05,0.214,0.689,159.876,229640,4,0,0,1,0,0,0,0,1,0,0,1
0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,229773,4,0,0,1,0,0,0,0,0,0,0,1
0.638,0.863,4,-5.221,0,0.132,0.052,5.46E-05,0.685,0.226,120.077,239973,4,0,1,0,1,0,0,1,0,0,0,1
0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4,1,1,0,0,1,0,0,0,0,0,1
0.705,0.628,5,-5.362,0,0.0489,0.0287,0.0193,0.0863,0.465,96.799,235540,4,1,1,0,0,0,0,1,0,0,0,1
0.925,0.308,11,-6.562,0,0.338,0.125,0,0.0933,0.265,122.099,145507,4,1,1,0,0,0,0,0,0,0,0,1
0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,0,0,1,1,0,0,0,0,1,0,1
0.396,0.358,9,-8.294,1,0.0292,0.422,1.71E-05,0.19,0.111,103.807,271467,4,0,0,1,0,0,0,1,0,0,0,1
0.869,0.385,4,-7.801,1,0.297,0.135,0,0.0931,0.596,149.897,133922,4,1,1,0,0,0,0,0,0,0,0,1
0.902,0.819,1,-3.321,1,0.316,0.041,0,0.106,0.745,89,186872,4,0,0,0,0,0,0,0,0,0,0,1
0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,4,0,0,1,0,0,0,0,1,0,0,1
0.515,0.476,9,-9.843,1,0.0328,0.314,4.74E-05,0.171,0.412,135.886,195097,4,0,0,1,0,0,1,0,0,0,0,1
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,116.073,209320,4,0,0,1,0,0,0,0,0,1,0,1
0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,221013,4,1,1,1,0,0,0,0,0,0,0,1
0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,201000,4,0,0,1,1,0,0,0,0,0,0,1
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4,1,1,0,0,0,0,0,0,0,0,1
0.738,0.824,5,-5.165,0,0.0437,0.15,0,0.132,0.386,138.039,204360,4,1,1,0,0,1,0,0,0,0,0,1
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,0,0,0,1,0,0,0,0,1,0,1
0.569,0.777,4,-4.041,0,0.0834,0.139,0,0.132,0.181,164.027,246987,4,1,1,0,0,1,0,0,1,0,0,1
0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,132303,4,1,1,0,0,1,0,0,0,0,0,1
0.861,0.637,8,-5.692,0,0.24,0.0515,3.35E-06,0.0967,0.474,98.044,228654,4,1,1,0,0,1,0,0,0,0,0,1
0.508,0.665,8,-5.748,0,0.0694,0.629,0.00124,0.142,0.124,91.997,221107,4,0,0,0,1,1,0,1,0,0,0,1
0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,194897,4,0,0,1,1,0,0,0,0,1,0,1
0.579,0.887,1,-5.961,0,0.0334,0.0484,0.828,0.294,0.472,126.041,201920,4,0,0,0,1,0,0,0,0,1,0,1
